id,name,description,keywords,url
K-7,MINT BLUE,吹奏楽部3年による有志団体です。藤棚にてポップスの演奏をします。皆さんがご存知の曲もたくさん演奏します！ぜひお越しください！,藤棚,吹奏楽部3年:MINT BLUE:藤棚:演奏:3:お越し:ご存知:し:たくさん:よる:ポップス:吹奏楽部:団体:曲:有志:皆さん:藤棚,https://suishosai.netlify.com/events/K7.html
K-8,裏Ms.翠嵐,翠嵐が誇る女装男子！！女子より可愛いと名高い彼女らのパフォーマンスをご覧あれ！！<br>当日は、シチュエーションバトルと2ショットチェキ撮影会を行います。,藤棚,翠翔祭実行委員会総務部3年:裏Ms.翠嵐:藤棚:2:br:あれ:ご覧:シチュエーション:ショット:チェキ:バトル:パフォーマンス:女子:女装:当日:彼女:撮影会:男子:翠嵐:行い:誇る,https://suishosai.netlify.com/events/K8.html
K-9,すぱげてぃ,私たち「すぱげてぃ」は、吹奏楽部1~3年生の男子のみで構成されています。今年は某有名ゲームのBGMなど、皆さんも一度は聴いたことのある曲を演奏します。ぜひ藤棚にお越しください。,藤棚,吹奏楽部:すぱげてぃ:藤棚:1:3:BGM:ある:お越し:こと:す:ゲーム:一度:今年:吹奏楽部:曲:有名:構成:演奏:男子:皆さん:私:聴い:藤棚,https://suishosai.netlify.com/events/K9.html
K-10,オパビニアの子孫,Spitzのコピバンです,藤棚,ポピュラーソング部:オパビニアの子孫:藤棚:Spitz:コピ:バン,https://suishosai.netlify.com/events/K10.html
K-11,Ms.&Mr. 翠嵐,翠嵐高校の美男美女が一堂に会する最強の祭典が今年も開催されます！ぜひみにきてください！,藤棚,サッカー部:Ms.&Mr. 翠嵐:藤棚:き:み:一堂:今年:会する:最強:祭典:美女:美男:翠嵐高校:開催,https://suishosai.netlify.com/events/K11.html
K-12,プリティダンスバトル,試合が終わり家路につくテニス部員たち、疲れからか、不幸にも黒塗りの高級車に追突してしまう。部活をかばい、すべての責任を負った鶴留に、車の主藤田が差し出した示談の条件とは...?いざ、参る!!,体育館,男女テニス部:プリティダンスバトル:体育館:かばい:すべて:つく:テニス:不幸:参る:家路:差し出し:条件:疲れ:示談:終わり:藤田:試合:負っ:責任:車:追突:部員:部活:高級:鶴留:黒塗り,https://suishosai.netlify.com/events/K12.html
L-2,サッカー部,サッカー部2年による演劇です。低予算な制作費を駆使してどうにか人様に見せられるように尽力しました。内輪ネタは極力避けたので暇があったら休憩がてら見に来てください。席は多分空いてます。,体育館ステージ,サッカー部:サッカー部:体育館ステージ:2:あっ:よる:サッカー部:ネタ:予算:人様:休憩:内輪:制作:尽力:席:暇:来:演劇:空い:見:見せ:避け:駆使,https://suishosai.netlify.com/events/L2.html
L-3,朝鮮中高級学校,朝鮮中高級学校の舞踊部の方々を招待して、朝鮮の民族舞踊を踊っていただきます。華やかな衣装を身にまとい踊る姿に心動かされます。普段は見ることができない貴重な体験となります。ぜひ足を運んで見てください。,体育館ステージ,国際交流委員会:朝鮮中高級学校:体育館ステージ:朝鮮:舞踊:こと:でき:なり:まとい:中高級:体験:動かさ:姿:学校:心:招待:方々:普段:民族:衣装:見:見る:足:踊っ:踊る:身:運ん,https://suishosai.netlify.com/events/L3.html
L-4,YSDC ~嵐踊者~,こんにちは、YSDCことダンス部です！ダンス部は1~3年生の計60人で活動しています。ステージ発表では、幅広いジャンルのダンスを披露します。手拍子・歓声大歓迎！翠嵐グランプリへの投票お願いします！！,体育館ステージ,ダンス部:YSDC ~嵐踊者~:体育館ステージ:ダンス:1:3:60:YSDC:お願い:こと:グランプリ:ジャンル:ステージ:大歓迎:手拍子:投票:披露:歓声:活動:発表:翠嵐,https://suishosai.netlify.com/events/L4.html
L-5,スイラン！ブラバン！ビックバン！！,翠嵐高校吹奏楽部、略してSWOです！私たちは1年生13人、2年生21人で毎日活動しています。今年の翠翔祭も、皆さんが知っているあんな曲やこんな曲をたくさん演奏します。ぜひ体育館へお越しください！,体育館ステージ,吹奏楽部:スイラン！ブラバン！ビックバン！！:体育館ステージ:曲:1:13:2:21:SWO:お越し:たくさん:今年:体育館:吹奏楽部:毎日:活動:演奏:略し:皆さん:知っ:私:翠嵐高校:翠翔,https://suishosai.netlify.com/events/L5.html
L-6,Suiran String Orchestra 2019,弦楽部です！落ち着いたクラシック曲や、弦楽器での一味違うポップスを演奏します。ぜひ体育館に立ち寄ってみて下さい♩,体育館ステージ,弦楽部:Suiran String Orchestra 2019:体育館ステージ:クラシック:ポップス:一味:体育館:弦:弦楽器:曲:楽部:演奏:立ち寄っ:落ち着い:違う,https://suishosai.netlify.com/events/L6.html
L-7,フーチコイワカ,体育祭の伝統種目、可愛子を翠翔祭で見ることができます。創作のダンスもあるので、ぜひお越しください。,体育館ステージ,有志の可愛子スタッフ:フーチコイワカ:体育館ステージ:ある:お越し:こと:でき:ダンス:伝統:体育:創作:可:愛子:種目:翠翔:見る,https://suishosai.netlify.com/events/L7.html
L-8,天使のいる音楽会,音楽部の発表はNコン曲やJポップなど、どなたでも楽しめる曲目です♩また、部員の過疎化が深刻な問題です。未経験者・伴奏者さん・ヘ音記号恐怖症者・菅田将暉・油田持ちetc、、、大歓迎です♩,体育館ステージ,音楽部:天使のいる音楽会:体育館ステージ:etc:どなた:コン:ヘ音記号:ポップ:伴奏者:問題:大歓迎:恐怖症:持ち:曲:曲目:楽し:油田:発表:経験者:菅田将暉:過疎:部員:音楽,https://suishosai.netlify.com/events/L8.html
T-1,やきそば,私たち１年生は、やきそばを食販します。初めての翠翔祭ですが、みんなで協力しておいしいやきそばを提供します。ご来店おまちしています。,翠翔みらい館前,定時制1年:やきそば:翠翔みらい館前:し:やきそば:ご来店:まち:みんな:初めて:協力:提供:私:翠翔:食販:１,https://suishosai.netlify.com/events/T1.html
T-2,鳥市民,定時制２年生の焼鳥屋、鳥市民翠嵐高校店はリーズナブルかつ信じられない程のボリュームのこだわり焼鳥を皆様にご賞味頂きたいと仕込みから頑張っております！スタッフ一同皆様のご来店を心よりお待ちしております♪,翠翔みらい館前,定時制2年:鳥市民:翠翔みらい館前:焼鳥:皆様:お待ち:こだわり:ご来店:ご賞味:スタッフ:ボリューム:リーズナブル:一同:仕込み:信じ:定時制:市民:心:程:翠嵐高校:頑張っ:鳥:２,https://suishosai.netlify.com/events/T2.html
T-3,フランクフルト,3学年は、フランクフルトを販売します。熱々でジューシーな肉汁が口の内で広がってまいう～なのでぜひ食べに来てください。,翠翔みらい館前,定時制3年:フランクフルト:翠翔みらい館前:3:ジューシー:フランクフルト:内:口:学年:広がっ:来:熱々:肉汁:販売:食べ,https://suishosai.netlify.com/events/T3.html
T-4,たこせん,定時制4年生がたこせんを作ります！関西で食べた生徒が味を再現するため、試行錯誤しました。ふわふわなタコ焼きがパリッとしたエビせんによく合いますよ！ぜひ食べに来てください。,翠翔みらい館前,定時制4年:たこせん:翠翔みらい館前:せん:食べ:4:し:たこ:ため:ふわふわ:エビ:タコ焼き:作り:再現:合い:味:定時制:来:生徒:試行錯誤:関西,https://suishosai.netlify.com/events/T4.html
T-5,定時制多文化共生委員会,定時制で学ぶ外国につながる生徒たちが、自分の国の料理を作ります。味わってみてください。数に限りがありますので、売り切れの場合はご容赦ください。,,定時制多文化共生委員会:定時制多文化共生委員会::あり:ご容赦:つながる:作り:味わっ:国:場合:売り切れ:外国:学ぶ:定時制:数:料理:生徒:自分:限り,https://suishosai.netlify.com/events/T5.html
U-1,定時制演劇部『ユダ』,定時制演劇部による創作劇『ユダ』を上演します。舞台は没落寸前の名家。屋敷で起こった宝石の盗難事件をきっかけに、人間の欲望があらわになっていく物語です。是非ご覧ください。,2棟3階 1年9組教室,定時制演劇部:定時制演劇部『ユダ』:2棟3階 1年9組教室:きっかけ:ご覧:よる:ユダ:上演:事件:人間:創作劇:名家:定時制:宝石:寸前:屋敷:欲望:没落:演劇:物語:盗難:舞台:起こっ,https://suishosai.netlify.com/events/U1.html
U-2,定時制保健委員会,保健委員では手洗いチェックや肌の具合、棒反応による瞬発力チェックなどが体験できます。ほかにはLGBTやタバコを吸い続けたら肺はどんなふうになるかなどのポスターを展示しています。,2棟2階 2年8組教室,定時制保健委員会:定時制保健委員会:2棟2階 2年8組教室:チェック:LGBT:ふう:ほか:よる:タバコ:ポスター:体験:保健:具合:反応:吸い続け:委員:展示:手洗い:棒:瞬発力:肌:肺,https://suishosai.netlify.com/events/U2.html
U-3,定時制イラスト・デザイン部,イラストに興味のある方は、ぜひのぞいてみてください。お絵かきコーナーもあります。部員一同、お待ちしています！,,定時制イラスト・デザイン部:定時制イラスト・デザイン部::あり:ある:お待ち:のぞい:イラスト:コーナー:一同:方:絵かき:興味:部員,https://suishosai.netlify.com/events/U3.html
U-4,写真展,写真部は今まで撮ってきた写真を多くの人に見てもらうために展示を行います。,,定時制写真部:写真展::写真:ため:人:多く:展示:撮っ:行い:見,https://suishosai.netlify.com/events/U4.html
U-5,Spiral road,こんにちは！定時制軽音部です！私たちＳｐｉｒａｌｒｏａｄは、６曲演奏します。曲名は当日のお楽しみに！みなさんがご存知の曲もあるので、私たちの演奏で楽しんでくれたら嬉しいです。ぜひ来て下さい！,3棟1階 テキサス,定時制軽音部:Spiral road:3棟1階 テキサス:演奏:私:ある:お楽しみ:ご存知:みなさん:定時制:当日:曲:曲名:来:楽しん:軽音:６:Ｓｐｉｒａｌｒｏａｄ,https://suishosai.netlify.com/events/U5.html
U-6,定時制合唱部青空コンサート,定時制合唱部による青空合唱です。スタジオジブリメドレー、リメンバーミー他5曲を歌います。場所は職員玄関前です！ぜひ来てください。,正門前,定時制合唱部:定時制合唱部青空コンサート:正門前:合唱:5:よる:スタジオジブリ:ミー:メドレー:リメンバー:他:場所:定時制:来:歌い:玄関:職員:青空,https://suishosai.netlify.com/events/U6.html
O-1,案内所,生徒会室で総合案内をしているゾ～。（謝罪）翠翔祭を1000％楽しんでもらうためお手伝いしているよ。激務をこなした有能な総務部が待ってるよ。困ったことがあれば遊びに来てね!!一緒にお話しよう。れっつえんじょい!!,2棟1階 生徒会室,翠実総務:案内所:2棟1階 生徒会室:1000:あれ:えん:お手伝い:お話:こと:こなし:し:じょい:ため:れっつ:ゾ:困っ:待っ:有能:来:案内:楽しん:激務:生徒会:総務:総合:翠翔:謝罪:遊び,https://suishosai.netlify.com/events/O1.html
